Aca
Adam
Agaton
Aksa
Aksentije
Akso
Aleksa
Aleksandar
Aleksej
Aleksije
Alen
Alimpije
Andra
Andrej
Andreja
Andrija
Andrijaš
Andro
Andronik
Anta
Antanasije
Anto
Antonije
Anđel
Anđelko
Anđelo
Aranđel
Arman
Arpad
Arsa
Arsen
Arsenije
Arso
Artur
Atanacko
Atanasije
Avakum
Avdula
Avram
Aćim
Ađim
Baja
Bajko
Bajo
Bajčeta
Balša
Ban
Bana
Bane
Bata
Batrić
Berisav
Berislav
Beriša
Berko
Biljan
Biserko
Blagina
Blagoja
Blagoje
Blagomir
Blagota
Blagovan
Blaško
Blaža
Blaže
Blažen
Blažeta
Blažimir
Blažo
Boban
Bobiša
Bogdan
Bogelj
Bogić
Bogiša
Bogoboj
Bogoje
Bogoljub
Bogomir
Bogosav
Bogoslav
Boica
Boin
Bojan
Bojin
Bojko
Bojo
Bojčeta
Bora
Boran
Boris
Borisav
Borislav
Borivoj
Borivoje
Boriša
Borko
Boro
Boroje
Boško
Boža
Božidar
Božin
Božina
Božićko
Božo
Božur
Bracan
Brajan
Brajica
Brana
Brane
Branimir
Branisav
Branislav
Branivoj
Branivoje
Braniša
Branko
Brano
Bratimir
Bratislav
Bratoljub
Bratomir
Bratovan
Brnča
Budimir
Budisav
Budislav
Caka
Cakan
Caki
Cane
Crnoje
Curko
Cveja
Cvejan
Cvetan
Cvetin
Cvetko
Cvetoje
Cvetomir
Cvetoš
Cvija
Cvijan
Cvijetin
Cvijo
Cviko
Cvjetan
Cvjetko
Cvjetoje
Cvjetoš
Dabiša
Dabiživ
Dabo
Dalibor
Damir
Damjan
Damljan
Damnjan
Dane
Daniel
Danijel
Danilo
Danislav
Danko
Danojlo
Dančul
Darije
Darijo
Dario
Darjan
Darko
Daroslav
David
Davor
Dejan
Delivoje
Denis
Desimir
Despot
Dimitar
Dimitrije
Dimčo
Dinko
Dionisije
Dmitar
Dobran
Dobrašin
Dobrica
Dobrilo
Dobrimir
Dobrinko
Dobrisav
Dobrislav
Dobrivoj
Dobrivoje
Dobriša
Dobromir
Dobrosav
Dobroslav
Dobrovuk
Dojčilo
Dojčin
Doko
Dorotej
Dositej
Dragan
Dragaš
Dragi
Dragisav
Dragislav
Dragivoj
Dragić
Dragiša
Drago
Dragobrat
Dragodan
Dragoja
Dragoje
Dragojlo
Dragoljub
Dragoman
Dragomil
Dragomir
Dragorad
Dragosav
Dragosije
Dragoslav
Dragovan
Dragoš
Dragutin
Drailo
Drakša
Draško
Draža
Dražan
Draže
Dražen
Dražeta
Dražimir
Dražo
Drgutin
Dubravac
Dubravko
Dujak
Duka
Dukadin
Dušan
Duško
Džafer
Emil
Emilijan
Emilije
Erak
Ervin
Evan
Evgenije
Evo
Filimon
Filip
Filotej
Filotije
Franjo
Gabor
Gaja
Gajin
Gajo
Gal
Gavra
Gavrilo
Gavro
Gača
Gaša
