Abadžija
Abadžić
Abazović
Abdulić
Abović
Abramić
Abramović
Abranović
Abrašević
Abutović
Acamović
Acić
Acković
Acović
Adam
Adamac
Adamić
Adamov
Adamović
Adašević
Adnađević
Adžemović
Adživuković
Adžić
Adžović
Agatonović
Agbaba
Agočević
Aguridić
Ajdarić
Ajdačić
Ajder
Ajdin
Ajdinović
Ajduk
Ajduković
Ajdučić
Ajetić
Ajković
Ajvaz
Ajvazović
Akifović
Aksentijević
Aksentić
Aksin
Aksić
Aksović
Akšam
Aladić
Aladžić
Alaković
Alanović
Alargić
Alavanja
Alavantić
Alavuk
Alavuković
Albijanić
Albunović
Aleksandrić
Aleksandrov
Aleksandrović
Aleksendrić
Aleksijević
Aleksin
Aleksić
Alempijević
Alfirević
Aligrudić
Alimpijević
Alimpić
Aličić
Aljančić
Alković
Almašac
Alparac
Aluga
Alurac
Alurović
Alvirović
Amanović
Ambulija
Amidžić
Ananić
Anastasijević
Andan
Andesilić
Andić
Andonov
Andonović
Andrašević
Andrejević
Andrejin
Andrejić
Andrijanić
Andrijašević
Andrijević
Andrijin
Andrin
Andrić
Androbić
Andulajević
Anikić
Anisijević
Anić
Aničin
Aničić
Ankić
Anojčić
Anokić
Anović
Antelj
Antešević
Antin
Antić
Antonijev
Antonijević
Antonić
Antonović
Antović
Antovski
Antuljeskov
Antunović
Antušević
Anučin
Anušić
Anđelić
Anđelkov
Anđelković
Anđelović
Anđić
Anđus
Anđušević
Anđušić
Aparac
Apatović
Apelić
Apić
Apostolović
Aracki
Aradski
Aralica
Arambašić
Aranicki
Aranitović
Aranđelović
Aračić
Arađanin
Arađanski
Arbinja
Arbutina
Ardalić
Ardov
Arežina
Argakijev
Argovac
Aritonović
Arivuković
Arizanović
Arizović
Arkadijević
Arkula
Arlov
Armacki
Armaković
Armanda
Arnaut
Arnautović
Arnovljev
Arnovljević
Arsa
Arsekić
Arsenijević
Arsenin
Arsenić
Arsenov
Arsenović
Arsikin
Arsin
Arsić
Arsović
Arula
Arunović
Arčaba
Asanović
Asurdžić
Atanackov
Atanacković
Atanasijević
Atanasković
Atanasović
Ateljević
Atlagić
Atlija
Avakumović
Avalić
Avdalović
Avdulić
Avram
Avramov
Avramović
Avrić
Azanjac
Azarić
Azdejković
