Adelina
Adrijana
Afrodita
Agnica
Agnija
Aleksandra
Aleksija
Ana
Anastasija
Anda
Andjelina
Andrea
Andrijana
Angela
Angelina
Anica
Anita
Anja
Anka
Ankica
Antonija
Antonina
Anđa
Anđela
Anđelija
Anđelina
Anđelka
Atanasija
Bela
Belka
Beloslava
Belunka
Berislava
Biljana
Bisenija
Bisera
Biserka
Blagica
Blaginja
Blagojka
Blažena
Blaženka
Bobana
Bogdana
Bogdanka
Boginja
Bogoslava
Boja
Bojana
Bojanka
Bojka
Borica
Borika
Borisava
Borislava
Borislavka
Borjana
Borjanka
Borka
Bosa
Bosanka
Bosiljka
Bosna
Božana
Božica
Božidarka
Božinka
Brana
Branimirka
Branislava
Branislavka
Branka
Brankica
Bratislava
Brnislava
Budimirka
Budimka
Budislava
Budislavka
Caka
Cakana
Cana
Cmilja
Cmiljana
Cmiljka
Cveta
Cvetana
Cvetanka
Cvija
Cvijeta
Dafina
Dajana
Daliborka
Damjana
Damjanka
Damljanka
Dana
Danica
Danijela
Danka
Danojla
Dara
Darija
Darina
Darinka
Darka
Davorjanka
Davorka
Daša
Dejana
Desa
Desanka
Desimirka
Despina
Despinja
Deva
Dijana
Dikosava
Dina
Divka
Divna
Dmitra
Dobra
Dobrana
Dobrica
Dobrija
Dobrila
Dobrina
Dobrinka
Dobrosava
Dobrosavka
Dobroslava
Dokna
Dora
Doroteja
Dostana
Draga
Dragana
Dragica
Dragija
Draginja
Dragojla
Dragomira
Dragomirka
Dragoslava
Dragoslavka
Dragovanka
Draženka
Dražeslava
Drena
Drenka
Drina
Drinka
Dubravka
Dunja
Dušana
Dušanka
Dušica
Duška
Dvorka
Ekaterina
Ela
Elena
Elizabeta
Elma
Ema
Emilija
Ena
Eva
Evana
Evanka
Evdokija
Evgenija
Evica
Favronija
Fema
Femka
Filipa
Flora
Gabrijela
Gajislava
Gala
Gavrila
Gavrilka
Georgina
Goluba
Gorana
Goranka
Gordana
Gordanka
Gorica
Gorjana
Gospana
Gospava
Gostana
Gostimirka
Gradimirka
Gradinka
Gradislava
Grlica
Grozda
Grozdana
Grozdanka
Gvozdana
Gvozdena
Gvozdenija
Gvozdenka
Hana
Helena
Hranislava
Hristina
Ikonija
Ilina
Ilinka
Ines
Irena
Irina
Isidora
Iskra
Iva
Ivana
Ivanka
Ivka
Ivona
Izvorka
Jablana
Jabuka
Jadranka
Jaglika
Jagoda
Jagodinka
Jana
Janica
Janja
Janovka
Jasika
Jasmina
Jasminka
Jasna
Javorka
Jefimija
Jegda
Jeka
Jela
Jelača
Jelena
Jelenka
Jelica
Jelisava
Jelisaveta
Jelisavka
Jelka
Jerina
Jesenka
Jeva
Jevdokija
Jevrosima
Ješa
Joka
Jordanka
Jorgovanka
Jovana
Jovanka
Jovka
Jula
Julija
Julijana
Julka
Julkica
Justina
Kadivka
Kaja
Kajsija
Kalina
Kalinka
Karanfila
Kasija
Kata
Katarina
Katica
Kazimira
Kaća
Klara
Klaudija
Kojadinka
Komnenija
Komnenka
Kosa
Kosana
Kosanka
Kosara
Kosovka
Kostadina
Kostadinka
Kovana
Koviljka
Kovina
Kovinka
Koštana
Košuta
Krainka
Kraisava
Krasna
Kristina
Krsjana
Krsmanija
Krstana
Krstina
Krstinja
Kruna
Krunislava
Krunislavka
Krunoslava
Krunoslavka
Ksenija
Kupina
Labuda
Lala
Lana
Lara
Lata
Latinka
Lea
Lela
Lelica
Lena
Lenka
Leonida
Leonora
Leontina
Lepa
Leposava
Lidija
Lila
Lilijana
Liza
Ljepava
Ljeposava
Ljerka
Ljilja
Ljiljana
Ljuba
Ljubica
Ljubina
Ljubinka
Ljubisavka
Ljubislava
Ljubomirka
Ljubosava
Ljuboslava
Ljupka
Ljutomirka
Lola
Lovorka
Loza
Lozana
Lozanka
Lozinka
Lucija
Luna
Luča
Lučija
Magda
Magdalena
Maja
Majda
Makivija
Malina
Malinka
Manda
Manduša
Mara
Margarita
Margita
Marica
Marija
Marijana
Marika
Marina
Marinka
Marjana
Marta
Maša
Melanija
Metohija
Mia
Miholjka
Mijana
Mikaina
Mikosava
Mila
Milada
Miladija
Miladinka
Milana
Milanka
Milena
Milenija
Milenka
Milesa
Mileva
Milevka
Mili
Milica
Milija
Milijana
Milimirka
Milina
Milinka
Milisava
Milisavka
Milivojka
Milja
Miljana
Miljka
Miljojka
Milka
Milkana
Milkica
Milna
Milodarka
Milojka
Milomira
Milomirka
Milosava
Milosavka
Milosija
Miloslava
Milovanka
Miluka
Miluna
Milunika
Milunka
Milutinka
Miluša
Mina
Minja
Mioljka
Miomira
Miomirka
Miona
Mionka
Mira
Mirjana
Mirka
Mirna
Mirosava
Mirosinka
Miroslava
Miroslavka
Mitra
Mladena
Mladenka
Mlađana
Moma
Momira
Momirka
Monika
Nada
Nadežda
Nadica
Nadja
Najda
Narandža
Nastasija
Nata
Natalija
Nataša
Nađa
Neda
Nedeljka
Negica
Negomirka
Negosava
Negoslava
Negoslavka
Negovanka
Nela
Neva
Nevena
Nevenka
Neđeljka
Nika
Nikodija
Nikoleta
Nikolija
Nikolina
Nikosava
Nikoslava
Nina
Ninislava
Ninoslava
Nišava
Njegomirka
Njegosava
Njegoslava
Njegovanka
Novka
Obradinka
Obrenija
Obrenka
Ognjana
Ognjanka
Ognjena
Ognjenka
Ojdana
Olga
Olgica
Olivera
Olja
Ozrenka
Pamela
Paraskeva
Paulina
Pauna
Pava
Pavija
Pavka
Pavla
Pavlija
Pavlina
Pejka
Pelagija
Pepica
Perka
Persa
Persida
Peruna
Perunika
Petka
Petkana
Petra
Petrija
Petrojka
Petronija
Petruša
Petruška
Plamenka
Planinka
Poleksija
Poznana
Prodana
Prvoslava
Prvoslavka
Rada
Radana
Radanka
Radena
Radenka
Radica
Radija
Radika
Radina
Radinka
Radislava
Radislavka
Radivojka
Radmila
Radna
Radojka
Radojla
Radomira
Radomirka
Radosava
Radosija
Radoslava
Radoslavka
Radovanka
Radovinka
Radrinka
Raduka
Radula
Radulka
Radunka
Raduša
Raduška
Rajka
